,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
237,ECL,False,1,12,26,0,2,0,0.0,263.7505025113901,0.0
238,EIX,False,11,5,21,0,2,0,0.0,71.83204146237925,0.0
239,EW,True,4,19,24,2,0,7,78.35495650679132,0.0,80.68189839747565
240,ELV,True,18,47,47,13,0,23,339.35935086145764,0.0,353.9782029486575
241,EME,True,16,6,3,14,0,0,824.655457326069,0.0,712.7202194156876
242,EMR,True,17,36,27,8,0,17,135.85449798356927,0.0,148.59270567082348
243,ETR,False,7,16,5,0,11,0,0.0,112.4681245330621,0.0
244,EOG,False,20,54,19,0,41,0,0.0,139.73925438268546,0.0
245,EPAM,False,60,19,2,0,10,0,0.0,207.9459959203581,0.0
246,EQT,False,20,49,26,0,26,0,0.0,61.78560065519007,0.0
247,EFX,False,6,4,25,0,2,0,0.0,182.3187218491686,0.0
248,EQIX,True,93,19,11,61,0,2,1071.4190300297453,0.0,775.5292485926187
249,EQR,True,19,17,21,12,0,3,60.800596735469334,0.0,60.74624830349014
250,ERIE,False,11,5,82,0,3,0,0.0,244.55924894305647,0.0
251,ESS,True,18,17,22,12,0,3,248.55551155757527,0.0,248.04233192160893
252,EL,False,58,49,13,0,29,0,0.0,110.93413747124794,0.0
253,EG,True,16,21,22,9,0,1,336.2803907015647,0.0,328.1131303288053
254,EVRG,False,11,5,12,0,2,0,0.0,81.58496994331028,0.0
255,ES,False,29,25,7,0,14,0,0.0,71.29668818779854,0.0
256,EXE,True,1,19,5,0,0,3,94.49464729043055,0.0,106.46548012985556
257,EXPE,False,2,37,31,0,13,0,0.0,245.15851602346044,0.0
258,EXPD,True,8,45,70,4,0,42,144.23434805231852,0.0,159.07625105093683
259,EXR,True,16,19,18,9,0,7,138.53339115323402,0.0,141.83323447440628
260,XOM,False,20,64,8,0,40,0,0.0,160.98874745343787,0.0
261,FFIV,True,19,3,84,7,0,37,296.3516660915117,0.0,279.9497537690938
262,FDS,True,21,14,6,10,0,4,222.95757991010245,0.0,209.4944363157752
263,FICO,False,36,8,43,0,6,0,0.0,1331.433492025104,0.0
264,FRT,True,20,14,25,16,0,13,109.204776706392,0.0,104.59091173949088
265,FDX,True,16,22,89,11,0,64,374.4666559695283,0.0,370.3151459111869
266,FIS,True,11,14,19,4,0,10,45.15749208576911,0.0,47.95151389070697
267,FITB,True,21,26,59,17,0,35,48.93594672351325,0.0,51.23196994814999
268,FSLR,False,7,7,64,0,1,0,0.0,188.41751642899848,0.0
269,FE,False,8,11,10,0,5,0,0.0,49.50127807332842,0.0
270,FISV,True,13,57,7,7,0,1,59.560395026306885,0.0,65.39139151697874
271,F,True,16,26,37,10,0,13,12.054892201355196,0.0,13.58598024240606
272,FTV,True,17,19,23,15,0,9,59.475269405504264,0.0,55.991365271721286
273,FOXA,True,38,33,56,18,0,34,61.90005149784722,0.0,71.75919345533713
274,FOX,True,16,48,63,10,0,33,55.75064229096097,0.0,64.44037067584284
275,BEN,True,16,22,62,11,0,31,26.67671212917188,0.0,26.066113420750998
276,FCX,False,5,15,19,0,13,0,0.0,64.40656867082193,0.0
277,GRMN,False,2,16,5,0,12,0,0.0,254.6165030903683,0.0
278,IT,True,7,19,15,1,0,4,147.0587975642626,0.0,154.71545120325754
279,GE,False,7,9,22,0,5,0,0.0,290.4701433816494,0.0
280,GEV,True,16,6,4,12,0,1,976.9325775722251,0.0,830.1739595257321
281,GEN,True,10,37,8,3,0,1,18.745503485468397,0.0,22.088407670183976
282,GNRC,True,8,30,37,5,0,24,205.06146346762677,0.0,209.1546309289544
283,GD,True,1,27,14,0,0,4,295.66847589623916,0.0,345.85260586130653
284,GIS,False,51,22,8,0,15,0,0.0,45.28119025731996,0.0
285,GM,True,16,27,22,9,0,5,75.05558232827883,0.0,78.75160837416922
286,GPC,False,3,13,35,0,9,0,0.0,107.3497695328809,0.0
287,GPN,True,11,23,16,5,0,5,67.16337805048556,0.0,70.97128842624082
288,GL,True,19,16,26,13,0,6,146.3322541428261,0.0,140.79732095427642
289,GDDY,True,9,85,28,3,0,6,81.79267467459091,0.0,125.31530431818801
290,GS,True,20,38,46,16,0,25,894.2651964114633,0.0,899.9045158425816
291,HAL,True,4,5,72,2,0,35,38.14965765180549,0.0,37.47549821230257
292,HIG,False,4,14,18,0,10,0,0.0,134.90491105933,0.0
293,HAS,True,9,24,96,1,0,40,89.18271664157032,0.0,94.06276575021258
294,HCA,False,8,8,15,0,3,0,0.0,481.1083427194289,0.0
295,DOC,False,7,4,15,0,2,0,0.0,16.536846990182905,0.0
296,HSIC,False,1,12,21,0,8,0,0.0,75.80482340541495,0.0
297,HSY,False,38,38,8,0,18,0,0.0,225.3972892944761,0.0
298,HPE,True,26,25,8,17,0,5,26.332091519411797,0.0,21.88627467286231
